,hashtags,count,views
0,developer ,10,21118
1,development ,9,21119
2,coder ,9,21119
3,coding ,10,21118
4,computer ,9,21119
5,internet ,9,21119
6,java ,10,21118
7,javascript ,9,21119
8,python ,9,21119
9,html ,9,21119
10,webdevelopment ,9,21119
11,website ,9,21119
12,programming ,10,21118
13,programmer ,9,21119
14,linux ,9,21119
15,windows ,9,21119
16,google ,9,21119
17,microsoft ,9,21119
18,learn ,9,21119
19,free ,9,21119
20,computerscience ,9,21119
21,jobs ,9,21119
22,laptop,9,21119
23,data ,1,440
24,datascience ,2,880
25,ml ,1,440
26,datahour ,1,440
27,machinelearning ,1,440
28,"webinar 
https://tinyurl.com/27jjnf2u",1,440
29,"python
",2,-2
30,"pythonprogramming
",1,-1
31,python3 ,1,-1
32,"pythonprogrammer
",1,-1
33,"coderlife
",1,-1
34,stackoverflow ,1,-1
35,"webdeveloper
",1,-1
36,peoplewhocode ,1,-1
37,"backend
",1,-1
38,"softwaredeveloper
",1,-1
39,programmerlife ,1,-1
40,"codingisfun
",1,-1
41,"programmers
",1,-1
42,devlife ,1,-1
43,software ,1,-1
44,engineer ,1,-1
45,"Javascript
",1,-1
46,"webdevelopment
",1,-1
47,codelife ,1,-1
48,androidstudio ,1,-1
49,"programmingjokes
",1,-1
50,"programmingmemes
",1,-1
51,programminghumor ,1,-1
52,informationtechnology,1,-1
