,postID,caption,likes,is_video,views,plays,NoHashtags,NoComments
0,0,"_Greetings from YHills in collaboration with E-Cell IIT Hyderabad & IBM._*

YHills has launched 💯 percent scholarship program for _Engineering/Management students_ in order to fulfill the vision to _Upskill 5000 Students_  by the end of March.

To Apply for your free scholarship program fill out the Google form given below.👇🏻

https://forms.gle/yq2pDoLMANrevR5u7

LINK IN BIO ",86,True,2146.0,4360.0,0,0
1,1,"Save it & Share it 🚀✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",877,False,,,23,3
2,2,"Agree 😅 & Share it 🚀✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",2323,False,,,23,6
3,3,"Join Analytics Vidhya’s live session on 19th March at 03:00 PM IST 🔗👉:

 Discover the world of Conversational Intelligence and Interactive Bots with Rajiv Chemudupati, a Lead Data Scientist at Jio Platforms Limited.

 This is your chance to learn from the best in the industry. Register now for our upcoming webinar.

🎯🥇 🗓️: Sunday, 19 March 2023 

🕓: 03:00 PM - 04:00 PM 

📃: Certificate of Participation 

⏳Hurry Up and Save Your Seat 🛋️ NOW: 

LINK IN BIO 🔗 

",440,False,,,7,1
4,4,"Follow @code_n_run for more.
.
🔔TURN ON POST NOTIFICATION
-✔FOLLOW @code_n_run for more...
➖➖➖➖➖➖➖➖➖➖➖➖➖➖
.
.
.
.
.

",-1,True,2756.0,10433.0,29,1
5,5,"Wanna try this 🤔..... Share with Friends 🚀
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",1266,True,27791.0,53614.0,23,5
6,6,"Save it & Share it 🚀✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",2870,False,,,23,8
7,7,"Agree 😊😅....... Share it 🚀
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",4528,True,52514.0,89539.0,23,9
8,8,"Data Structures Notes.. Save it ✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",3209,False,,,23,5
9,9,"Save it & make your own Calendar 📆✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",1385,True,16536.0,87807.0,23,10
10,10,"Python Notes 💻.......Save it ✅ 🚀
.
Follow 👉 @pythonpro_ for more... 
.
. 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",1276,False,,,23,8
11,11,"Share it computer engineers 😅🚀
.
Follow 👉 @pythonpro_ for more... 
.
. 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",3385,False,,,23,10
