,Captions,Polarity,Subjectivity
0,"_Greetings from YHills in collaboration with E-Cell IIT Hyderabad & IBM._*

YHills has launched 💯 percent scholarship program for _Engineering/Management students_ in order to fulfill the vision to _Upskill 5000 Students_  by the end of March.

To Apply for your free scholarship program fill out the Google form given below.👇🏻

https://forms.gle/yq2pDoLMANrevR5u7

LINK IN BIO ",0.4,0.8
1,"Save it & Share it 🚀✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
2,"Agree 😅 & Share it 🚀✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
3,"Join Analytics Vidhya’s live session on 19th March at 03:00 PM IST 🔗👉:

 Discover the world of Conversational Intelligence and Interactive Bots with Rajiv Chemudupati, a Lead Data Scientist at Jio Platforms Limited.

 This is your chance to learn from the best in the industry. Register now for our upcoming webinar.

🎯🥇 🗓️: Sunday, 19 March 2023 

🕓: 03:00 PM - 04:00 PM 

📃: Certificate of Participation 

⏳Hurry Up and Save Your Seat 🛋️ NOW: 

LINK IN BIO 🔗 

",0.35497835497835495,0.3142857142857143
4,"Follow @code_n_run for more.
.
🔔TURN ON POST NOTIFICATION
-✔FOLLOW @code_n_run for more...
➖➖➖➖➖➖➖➖➖➖➖➖➖➖
.
.
.
.
.

",0.5,0.5
5,"Wanna try this 🤔..... Share with Friends 🚀
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
6,"Save it & Share it 🚀✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
7,"Agree 😊😅....... Share it 🚀
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
8,"Data Structures Notes.. Save it ✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
9,"Save it & make your own Calendar 📆✅
.
Follow 👉 @pythonpro_ for more... 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.5,0.6333333333333334
10,"Python Notes 💻.......Save it ✅ 🚀
.
Follow 👉 @pythonpro_ for more... 
.
. 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
11,"Share it computer engineers 😅🚀
.
Follow 👉 @pythonpro_ for more... 
.
. 

IMPORTANT THINGS TO DO⬇️

🧠•Watch our story for knowledge!

Comment your views on the post.
Follow @pythonpro_ for more information and programming🧠💻
.
Turn on story and post notifications for good times😃💯
.
Thanks for your support😃❤
.
.
.
.
",0.4800000000000001,0.56
