,Comment,Polarity,Subjectivity
0,3rd please arrange in order it should be 1.Abstraction  2.Encapsulation 3.Inheritance  4.Polymorphism  because without abstraction no encapsulation without this no Inheritance without this no polymorphism,0.0,0.0
1,Awesome ❤️❤️,1.0,1.0
2,Savable 😮,0.0,0.0
3,That's my life already.  Time to get my skills up to speed.,0.0,0.0
4,😂😂,0.0,0.0
5,😂😂😂,0.0,0.0
6,I’ve definitely been keeping up with line 1-4,0.0,0.5
7,you will never be a programmer if you believe in these social media bulshit,0.03333333333333333,0.06666666666666667
8,😂😂😂,0.0,0.0
9,@filippovnikolay2018 .,0.0,0.0
10,Cfbr,0.0,0.0
11,"Sir that the easy one , i can make this using python 🙂",0.43333333333333335,0.8333333333333334
12,"Hello everyone, 
My name is Nishit Tated. I have 3+ years of experience in IT industry. I have worked with IBM and other companies and have expertise in Cloud and Full Stack profiles. 
  1) Wonder what your career would be? 
2) How to prepare ATS-friendly one-page resume? How to make rock solid LinkedIn Profile? 
3) Need any technical guidance or industry standard help in your ongoing projects? 
4) Need 1:1 mock interview before your final interview? 
5) Facing any roadblocks in your career growth or how to prepare for the interviews that you're trying hard to ace it. 
6) How to improve your overall communication skills?
 For all the above questions I have your answer as an industry expert, feel free to connect with me over here:
https://topmate.io/nishittated
  And based on your requirements you can book a session with me, I would be happy to help you the best and make your career grow.",0.17777777777777778,0.4055555555555555
13,Source code bro,0.0,0.0
14,Source code plz 😢,0.0,0.0
15,source code?,0.0,0.0
16,"Need web design, development or marketing? NetLiftAgency.co.uk has got you covered!",0.0,0.0
17,C,0.0,0.0
18,Error,0.0,0.0
19,A,0.0,0.0
20,Valid @praminiarto ?,0.0,0.0
21,D,0.0,0.0
22,Error,0.0,0.0
23,Error,0.0,0.0
24,Python west na,0.0,0.0
25,When u can ask for help with homework on python in chat Gpt🤌,0.0,0.0
26,"chat gpt is the best, smarter, and realistic👏",1.0,0.3
27,"*Are you planning to take a leap in your career but don't know where to start from❓❓*
*📣📣 YHills Edutech* brings to you *India's most demanded Training & Internship program* with *hands on exposure to realtime projects*.
*Batch Size: 15-20*
*Who is this training for?*
 *• First year to Final year students / Freshers*
*Note: No coding knowledge required*
If you are interested DM me",0.25,0.5833333333333333
28,😂,0.0,0.0
29,😂😂😂😂😂,0.0,0.0
30,Chatgpt == no skills?,0.0,0.0
31,CHAT GPT DEVELOPER ISN’T DÉVELOPPEUR,0.0,0.0
32,@elminn__95 😂😂😂,0.0,0.0
33,❤️❤️,0.0,0.0
34,❤️,0.0,0.0
35,Any tips for studying fot the data structures exams?,0.0,0.0
36,Wow 🤝🏻 ، i liket,0.1,1.0
37,Amazing 🔥,0.6000000000000001,0.9
38,"When I was in class 11 th, I use to print this and impress my batch mates 🤣",0.0,0.0
39,tam tam,0.0,0.0
40,"Honestly, u can literally import everything in python😹😹. So sweet though",0.475,0.775
41,@elmahdialagab,0.0,0.0
42,Great love it,0.65,0.675
43,"Learning core,advanced python, machine learning web scrapping gaming gui for 60000rs is worth?? Pls clarify",0.3,0.1
44,When I needed it the most😍,0.0,0.0
45,🔥🔥🔥🔥🔥🔥🔥🔥🔥,0.0,0.0
46,❤️,0.0,0.0
47,Cool 🔥🔥,0.35,0.65
48,Sir this is helpful in 12 cbse ip board???,0.0,0.0
49,👏 full python syllabus kavali broo pls,0.35,0.55
50,@rs_iamrajeeb369.rs  note it,0.0,0.0
51,Output device ke example wrong  hai,-0.5,0.9
52,Sir :- Output ke examples wrong hai.,-0.5,0.9
53,Amazing,0.6000000000000001,0.9
54,Very much needed❤❤️,0.26,0.26
55,Useful notes ❤️❤️,0.3,0.0
56,Hahaha 😂😂,0.2,0.4
57,Exactly 🤣,0.25,0.25
58,🔥🔥,0.0,0.0
59,😂,0.0,0.0
60,😂😂,0.0,0.0
61,😂😂😂😂,0.0,0.0
62,😂😂😂😂😂,0.0,0.0
63,"Abhe chutiya look, it is not https safe and see the domain name😂😂😂 any fool will find it's scam🤦🤦",0.5,0.5
64,😂😂😂😂😂😂,0.0,0.0
65,😂,0.0,0.0
